draw,treated_pair_units,coefficient
74,14385,0.0007704432455305303
75,14385,-0.001678847229148709
76,14385,5.03972032058463e-05
77,14385,-0.0031813055064403724
78,14385,-0.004904880284918358
79,14385,-0.0009984887639600325
80,14385,0.0018306685204495536
81,14385,-0.0023308574249545264
82,14385,-0.006804214333570082
83,14385,-0.0011572390725040566
84,14385,0.0035088860679149576
85,14385,0.001983749175117005
86,14385,0.004631477535476277
87,14385,-0.0009984887639600316
88,14385,-0.001372685919813804
89,14385,0.0014961589417317868
90,14385,0.000668389475752228
91,14385,-0.004627067244966314
92,14385,-0.004428629359286283
93,14385,-0.0054264884415630085
94,14385,-0.003351395122737543
95,14385,0.003769690146237284
96,14385,0.004518084457944828
97,14385,-0.0015484451899875473
98,14385,3.905789545270167e-05
99,14385,0.006593177776770297
100,14385,-0.0019509906152241814
101,14385,-0.002149428500904212
102,14385,0.001586873403756943
103,14385,-0.003855994317752479
104,14385,-0.0007036667623782716
105,14385,-0.0031756358525638
106,14385,-0.002988537274636915
107,14385,0.0008271397842962525
108,14385,0.0012637031327923215
109,14385,0.004852594036662596
110,14385,0.004790227844020301
111,14385,0.003849065300509297
112,14385,-0.0008340688015394338
113,14385,2.204893382298408e-05
114,14385,0.0035542432989275367
115,14385,-0.007813412723599956
116,14385,0.0039454494164110265
117,14385,0.0026584379864291107
118,14385,-0.002648358042042575
119,14385,-0.0033854130459969774
120,14385,0.006559159853510864
121,14385,0.0006116929369865058
122,14385,-0.0013613466120606598
123,14385,-0.00589140005944194
124,14385,0.006479784699238851
125,14385,-0.0010778639182320447
126,14385,-9.134414370846091e-05
127,14385,-0.004780147899633766
128,14385,0.00214249948366103
129,14385,0.0002488350888858783
130,14385,0.0019327222902278548
131,14385,-0.0012536231884057863
132,14385,0.00667255293104231
133,14385,-0.0006356309158594035
134,14385,0.006105587543385079
135,14385,-0.00772836791545137
136,14385,0.003112010296554898
137,14385,-0.0033967523537501215
138,14385,0.0024486607929959355
139,14385,0.009269254406512432
140,14385,-0.00014237102859761199
141,14385,0.00036222816641732293
142,14385,0.004767549228514013
143,14385,-0.0020190264617430493
144,14385,0.0015641947882506532
145,14385,0.0037753598001138574
146,14385,-0.0009304529174411634
147,14385,-0.00804586853253942
148,14385,-0.001247953534529214
149,14385,0.0015641947882506543
150,14385,-0.005103318170598389
151,14385,-0.0013273286888012242
152,14385,-0.006106846906751687
153,14385,0.0028568758721091423
154,14385,-0.0014293824585795282
155,14385,-0.005290416748525273
156,14385,-0.003941039125901064
157,14385,-0.00363487781656616
158,14385,-0.0005505861077108205
159,14385,0.0036676363764589818
160,14385,-0.0008510777631691514
161,14385,-0.006571758524630618
162,14385,-0.001837597537692735
163,14385,8.441512646527954e-05
164,14385,0.0040304942245596095
165,14385,-0.0037199226247147422
166,14385,0.003117679950431468
167,14385,-0.002359205694337388
168,14385,-0.0011232211492446219
169,14385,0.005175764307627219
170,14385,0.004495405842438542
171,14385,0.003497546760161815
172,14385,-0.0022174643474230796
173,14385,0.007829162321863065
174,14385,-0.001576793459370408
175,14385,0.0025507145627742373
176,14385,-0.0022231340012996517
177,14385,0.0002148171656264418
178,14385,0.003077992373295463
179,14385,0.005538622155727846
180,14385,0.003656297068705839
181,14385,-0.0017355437679144334
182,14385,-0.0015711238054938357
183,14385,-0.0018262582299395892
184,14385,-0.002591661503276852
185,14385,0.0010822742087420072
186,14385,-0.0009588011868240253
187,14385,-0.0006129523003531158
188,14385,0.005476255963085552
189,14385,-0.00537546155667386
190,14385,-0.00409978943444509
191,14385,-0.0023988932714733937
192,14385,-0.0007093364162548445
193,14385,-0.0055172029035881675
194,14385,0.00459178995834027
195,14385,0.0015755340960037995
196,14385,-0.002211794693546508
197,14385,-0.0010892032259851895
198,14385,0.004189244533103638
199,14385,-0.0011458997647509133
200,14385,-0.0019679995768538978
201,14385,-0.003901351548765057
202,14385,-0.008998370383803569
203,14385,-0.0027334028501911616
204,14385,-0.004003405318543358
205,14385,-0.007189750797176999
206,14385,0.0012807120944220377
207,14385,-0.0011572390725040579
208,14385,-4.031725881931025e-05
209,14385,-0.003901351548765058
210,14385,0.001677587865782101
211,14385,-0.0030565731211557815
212,14385,-0.0029034924664883307
213,14385,0.0037923687617435753
214,14385,0.004183574879227063
215,14385,-0.00022741583674619776
216,14385,-0.0004542019918090913
217,14385,-0.001792240306680156
218,14385,-0.006486713716482033
219,14385,-0.00046554129956223513
220,14385,-0.0008737563786754423
221,14385,0.0008498183998025413
