draw,trend_estimate,post_break_estimate
116,0.00431413615288624,-0.02356336748414498
117,0.008092175363216643,-0.021467738441472286
118,0.011514799485448438,0.004595870182762141
119,0.00549991066869121,0.0019465451404777415
120,-0.004121130534387749,0.014328638305248829
121,0.006104361267494168,0.0023054948920298024
122,0.0010054044107408247,0.0021119645877413114
123,0.000757085921477647,-0.011773023692906903
124,0.013127906557714925,-0.006644484799797845
125,0.006160524347735046,-0.01767262003698199
126,0.0001294589186312048,-0.019145383686456637
127,0.004119339323394431,-0.01754841792486929
128,-0.00010184701891744613,-0.007260489000992097
129,-0.008488033153820695,0.025736946950079914
130,0.015018440019150568,-0.011875233111902514
131,-0.0019702385817996007,0.012678055822909887
132,0.010287556792919369,-0.0046875485441913445
133,0.016411581568326627,-0.023465837041490703
134,0.0015361096064773483,-0.003637872161376486
135,-0.009213428416462489,0.018739137457902278
136,0.005810929496650408,-0.023644247068039366
137,-0.016044397010395554,0.0499226822164074
138,0.016301000528776317,-0.031672875684935285
139,-0.0011443000761408536,0.0011784858056336847
140,0.0020601841828116023,0.014463467891604215
141,0.004410746878675965,0.006207451601250816
142,-0.007022012176292464,0.01181555073841133
143,0.016288793349086544,-0.032274191533543974
144,-0.013632311261325206,-0.008748579598551715
145,0.007274000948564003,-0.007868202962650526
146,0.0030464608868064932,-0.01067577290248033
147,0.00174778277448185,0.012766221819441988
148,0.0036107516679431684,-0.030521960205642844
149,0.002110975331191471,0.0015568880484997868
150,0.008825870381211664,-0.025117581502749665
151,0.007328865229097774,-0.006398018977798424
152,0.014517473823158603,-0.015396266918516324
153,-0.003058343567589286,-0.010126428025941187
154,0.008511747436648934,-0.011710397770247509
155,0.003646917288642741,0.0005442495009176651
156,0.009487095656255547,-0.030044139935207173
157,0.0061414356959849595,-0.012973710406529207
158,0.015272514534330511,-0.0176363379613768
159,0.012201269270337985,-0.029667959824714825
160,0.0056366716539652684,-0.0262075411096149
161,0.0013175075200431308,0.003284851572885831
162,-0.0031953760499025497,0.010035660445738856
163,0.0037904856708852307,-0.02433366370762744
164,0.017173897768973045,-0.02682802344231619
165,0.003666949217474247,-0.00864884616800462
166,0.01517739035179478,-0.015607884424454932
167,0.0038834380560580743,-0.0019742042222065867
168,0.0038214559188862116,0.00465783910476749
169,-0.0023274108047540163,0.004784502411079944
170,0.003151665292541149,0.0073728890547068646
171,0.005635000117919131,-0.019275409795454765
172,0.0006156895025560749,-0.006972543066920845
173,-0.00028122957619791753,0.0015978596888910706
174,0.014502187324951916,-0.03062263793172459
175,0.014022825289385477,-0.042831757112953006
176,-0.012913956373779158,0.029514682330979574
177,-0.007509681641405247,0.008888928262803207
178,-0.0015495669887250103,0.020982406403568188
179,0.00867924967335372,-0.00654938410386062
180,0.0017838205675063737,-0.01619467356842288
181,0.00432491220882745,-0.022387957677421633
182,-0.005382815995123524,-0.01637926099086902
183,-0.0021400928129260495,0.0034818721177830884
184,0.011231917014074895,-0.002281672182597047
185,-0.010148374149415065,0.01009084188809136
186,-0.00476455848595011,0.017159700233297385
187,0.009671313508109028,-0.007266430008580418
188,0.007517683101719189,-0.005960942805807411
189,-0.0007522536595842479,0.013282068504908796
190,0.001234903995907673,0.005539397217265162
191,-0.004177159473416368,0.0039037289890043424
192,0.01487120899364219,-0.027429511733537595
193,-0.0021491554683444503,0.007182902430723142
194,-0.0055313650030791445,0.0018561418705363777
195,0.004772126907354551,0.0008526012822879375
196,0.010310765634078768,-0.003557466043846144
197,0.0006389194690944403,0.002344227580432229
198,-0.0014413644736164313,-0.013894335081215597
199,0.003850908486676418,-0.028413681871462593
200,0.000677004297078225,0.004820023272653719
