company_id,country
104013806,US
104014126,US
104014613,US
104015037,CN
104015389,US
104015765,US
104015838,CN
104016117,US
104016151,US
104016247,US
104016325,US
104016415,US
10402,US
10404,US
104063467,CN
10408,US
104085190,US
104085194,US
104085694,CN
104085702,US
104085708,CN
104085714,CN
104085736,CN
104085806,US
104086343,US
104086929,US
104087022,US
104087120,US
104087172,CN
104087218,CN
104087630,CN
104087849,US
104088751,US
104089643,US
104089661,US
104089678,US
104089829,CN
104089875,US
104090084,US
104092327,US
104092337,US
104093404,US
104093448,US
104093662,US
104093855,US
104093921,US
104093991,US
104094121,US
104094244,US
104094315,US
104094458,US
104094560,US
10410,US
104116051,US
104116057,US
104116675,US
104116827,CN
104116967,US
104117119,US
104117473,US
104117743,US
104117881,US
104117917,US
104117967,US
104118179,CN
104118331,US
104118425,CN
104118577,US
104118767,US
104118921,CN
104119089,US
104119241,US
104119797,US
104119979,US
10412,US
104120117,US
104120355,CN
104120411,US
104120421,US
104120487,US
104120682,US
104120810,US
104131180,US
104131434,CN
104131973,CN
104132128,US
104132172,US
104132332,US
104132613,US
104172396,US
104173450,CN
104176304,CN
10418,US
10419,US
104206245,US
104206862,US
104207047,US
104207634,US
104207711,CN
104207962,US
104208047,US
104208122,US
104208681,US
104208855,US
104209396,US
10421,US
104210003,CN
104210091,US
104210129,US
104210357,US
104210549,US
104210775,US
104211179,CN
104211619,US
104211847,US
104211911,US
104212142,US
10422,US
10423,US
104232950,US
104233880,US
104233933,US
104234220,US
104234334,US
104234529,US
104235193,US
104235637,US
104236375,CN
104238450,CN
104257685,US
10427,US
104274368,US
104274671,US
104275760,US
104276062,CN
104276561,US
104277007,US
104277301,US
104277307,CN
104277418,CN
104277739,US
104277839,US
104277916,US
104278107,US
104278175,US
104278251,US
104278309,US
104278460,US
104278470,US
104278614,US
104278696,US
104280048,US
10429,US
1043,US
104304416,US
104325479,CN
104337511,US
104337579,US
104337613,US
104337717,US
104338062,CN
104338910,US
104338947,US
104339002,CN
104339198,CN
104339210,US
104339860,US
104339901,US
10434,US
104340575,US
10435,US
104377554,US
104377808,US
104395971,US
104396639,US
104396733,US
104397068,US
104397160,US
104397204,CN
104397473,CN
104397481,US
104397639,US
104397755,US
104397940,CN
104398517,US
104398742,CN
104398829,CN
104398924,US
104399288,CN
104399317,US
1044,US
104400299,US
