NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines,EstCode
H5,840,2020,030457,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030459,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030461,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030462,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030463,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030469,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030471,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2,U2 
H5,840,2020,030472,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2,U2 
H5,840,2020,030473,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2,U2 
H5,840,2020,030474,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2,U2 
H5,840,2020,030475,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2,U2 
H5,840,2020,030479,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2,U2 
H5,840,2020,030481,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2,U2 
H5,840,2020,030482,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2,U2 
H5,840,2020,030483,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2,U2 
H5,840,2020,030484,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030485,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030486,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030487,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030488,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030489,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2,U2 
H5,840,2020,030491,      6.00,      0.00,      6.00,      3.00,0,1,0,1,2,2,U2 
H5,840,2020,030492,      6.00,      0.00,      6.00,      3.00,0,1,0,1,2,2,U2 
H5,840,2020,030493,      6.00,      0.00,      6.00,      3.00,0,1,0,1,2,2,U2 
H5,840,2020,030494,      6.00,      0.00,      6.00,      3.00,0,1,0,1,2,2,U2 
